;Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
3788;X-Men Legends;GC;2004;Role-Playing;Activision;0.53;81;36;8.5;11;Raven Software;T
3790;G-Force;DS;2009;Action;Disney Interactive Studios;0.53;NA;NA;9;5;Keen Games;E10+
3792;StarCraft II: Legacy of the Void;PC;2015;Strategy;Activision;0.53;88;62;8.3;833;Blizzard Entertainment;T
3793;Jewel Master Egypt;DS;2009;Puzzle;Rondomedia;0.53;56;9;tbd;NA;Storm City Games;E
3794;ModNation Racers;PSP;2010;Racing;Sony Computer Entertainment;0.53;73;22;7.7;22;SCEA San Diego Studios;E
3795;LEGO Dimensions;X360;2015;Action;Warner Bros. Interactive Entertainment;0.53;NA;NA;6.1;18;;
3796;WWE SmackDown vs. Raw 2010;DS;2009;Fighting;THQ;0.53;75;7;8.3;4;Yuke's;T
3798;Oni;PS2;2001;Action;Take-Two Interactive;0.53;69;24;7.8;22;Rockstar Toronto;T
3799;Tom Clancy's Ghost Recon Advanced Warfighter 2;PSP;2007;Shooter;Ubisoft;0.53;61;12;6.4;9;High Voltage Software, Ubisoft Paris;T
3800;SpongeBob SquarePants featuring Nicktoons: Globs of Doom;Wii;2008;Action;THQ;0.53;47;5;5.4;10;Incinerator Games;E
3801;Terminator Salvation;PS3;2009;Shooter;Warner Bros. Interactive Entertainment;0.53;43;41;3.9;70;GRIN;T
3802;How to Train Your Dragon;DS;2010;Action;Activision;0.53;60;8;tbd;NA;Griptonite Games;E10+
3803;The Lord of the Rings: The Two Towers;GC;2002;Action;Electronic Arts;0.53;82;13;8.7;23;Stormfront Studios;T
3804;Batman: Arkham City;PC;2011;Action;Warner Bros. Interactive Entertainment;0.53;91;27;8.6;1847;Rocksteady Studios;T
3805;Juiced;PS2;2005;Racing;THQ;0.53;68;36;7.7;24;Juice Games;T
3806;The Warriors;PS2;2005;Action;Take-Two Interactive;0.53;84;52;8.5;72;Rockstar Toronto;M
3808;Star Fox Command;DS;2006;Shooter;Nintendo;0.53;76;56;7.3;56;Q-Games;E10+
3809;Dragon Age: Inquisition;X360;2014;Role-Playing;Electronic Arts;0.53;NA;NA;5.1;235;BioWare;M
3813;Bulletstorm;PS3;2011;Shooter;Electronic Arts;0.53;83;57;7.7;288;Epic Games, People Can Fly;M
3814;Return to Castle Wolfenstein: Operation Resurrection;PS2;2003;Shooter;Activision;0.53;66;21;8;23;Raster;M
3815;Mario Tennis: Power Tour;GBA;2005;Sports;Nintendo;0.52;81;21;8;25;Camelot Software Planning;E
3816;Seaman;DC;1999;Simulation;Sega;0.52;82;24;8.4;16;Vivarium;T
3817;The Grinch;PS;1999;Adventure;Konami Digital Entertainment;0.52;55;8;;NA;VU Games;E
3818;Tales of Symphonia;PS3;2013;Role-Playing;Namco Bandai Games;0.52;NA;NA;7.2;6;Namco Bandai Games;T
3819;Michael Jackson: The Experience;PS3;2011;Misc;Ubisoft;0.52;66;11;8.4;16;Ubisoft Montreal;E10+
3821;Stuntman: Ignition;PS3;2007;Racing;THQ;0.52;76;18;6.2;12;Paradigm Entertainment;T
3823;F.E.A.R. 2: Project Origin;X360;2009;Shooter;Warner Bros. Interactive Entertainment;0.52;77;68;8;114;Monolith Productions;M
3824;Mystery Dungeon: Shiren the Wanderer;DS;2006;Role-Playing;Sega;0.52;69;27;8.2;21;ChunSoft;E
3825;GT Pro Series;Wii;2006;Racing;Ubisoft;0.52;41;15;4;21;MTO;E
3826;Tiger Woods PGA Tour 11;X360;2010;Sports;Electronic Arts;0.52;79;51;7.8;19;EA Sports;E
3827;The Golden Compass;PS2;2007;Action;Sega;0.52;46;10;5.2;6;Shiny Entertainment;E10+
3828;Final Fantasy Chronicles;PS;2001;Role-Playing;Square;0.52;89;15;9.1;37;TOSE;T
3829;F1 2009;PSP;2009;Racing;Codemasters;0.52;68;23;7.2;14;Sumo Digital;E
3830;Syphon Filter 3;PS;2001;Shooter;Sony Computer Entertainment;0.52;73;19;8.5;36;Sony Bend;M
3831;Metal Gear Solid 2: Substance;PS2;2002;Action;Konami Digital Entertainment;0.52;87;17;9;126;KCEJ;M
3832;Tales of Symphonia: Dawn of the New World;Wii;2008;Role-Playing;Namco Bandai Games;0.52;68;46;7.1;93;Bandai Namco Games;T
3833;NBA Live 08;X360;2007;Sports;Electronic Arts;0.52;73;37;5.3;19;EA Canada;E
3834;Guinness World Records: The Videogame;DS;2008;Action;Warner Bros. Interactive Entertainment;0.52;70;4;tbd;NA;TT Fusion;E
3835;We Love Katamari;PS2;2005;Puzzle;Electronic Arts;0.52;86;61;8.9;51;Namco;E
3836;Sesame Street: Once Upon A Monster;X360;2011;Misc;Warner Bros. Interactive Entertainment;0.52;79;26;6.9;22;Double Fine Productions;E
3837;NCAA Football 2003;XB;2002;Sports;Electronic Arts;0.52;90;14;8.2;15;EA Sports;E
3838;We Cheer;Wii;2008;Simulation;505 Games;0.52;56;12;7.3;13;Machatin, Inc.;E10+
3839;Madden NFL 07;PS3;2006;Sports;Electronic Arts;0.52;76;25;4.2;22;EA Tiburon;E
3840;Ready 2 Rumble Boxing: Round 2;PS;2000;Fighting;Midway Games;0.52;68;5;tbd;NA;Point of View;T
3841;LEGO Jurassic World;WiiU;2015;Action;Warner Bros. Interactive Entertainment;0.52;71;5;8.1;14;TT Games;E10+
3843;NBA Live 09;PS3;2008;Sports;Electronic Arts;0.52;75;32;7.8;15;EA Canada;E
3846;Rory McIlroy PGA Tour;PS4;2015;Action;Electronic Arts;0.52;61;33;3.7;78;EA Tiburon;E
3847;SingStar Dance;PS3;2010;Misc;Sony Computer Entertainment;0.52;65;21;3.9;8;SCEE London Studio;T
3849;Lords of the Fallen;PS4;2014;Role-Playing;Square Enix;0.52;68;45;6.6;425;City Interactive, Deck 13;M
3850;Swing Away Golf;PS2;2000;Sports;Electronic Arts;0.52;78;15;tbd;NA;T&E Soft;E
3852;Tomb Raider: Legend;PS2;2006;Action;Eidos Interactive;0.52;82;43;7.1;96;Crystal Dynamics;T
3853;Freedom Fighters;PS2;2003;Shooter;Electronic Arts;0.52;81;26;8.4;57;Io Interactive;T
3854;Silent Hill: Origins;PSP;2007;Action;Konami Digital Entertainment;0.52;78;40;7.8;107;Climax Group, Climax Studios;M
3855;Gun;XB;2005;Shooter;Activision;0.52;79;55;7.8;29;Neversoft Entertainment;M
3856;That's So Raven 2: Supernatural Style;GBA;2005;Adventure;Disney Interactive Studios;0.52;52;5;tbd;NA;Artificial Mind and Movement;E
3857;Fight Night Round 3;PSP;2006;Fighting;Electronic Arts;0.52;74;22;8.1;22;EA Chicago;T
3858;The Punisher;PS2;2005;Action;THQ;0.52;68;44;8.2;56;Volition Inc.;M
3859;Kirby and the Rainbow Curse;WiiU;2015;Platform;Nintendo;0.52;73;72;8;227;HAL Labs;E
3862;SSX On Tour;PS2;2005;Sports;Electronic Arts;0.52;80;41;7.9;26;EA Canada;E
3864;Disgaea 3: Absence of Justice;PS3;2008;Role-Playing;Square Enix;0.52;78;51;7.5;150;Nippon Ichi Software;T
3865;Tony Hawk's Pro Skater 3;GBA;2002;Sports;Activision;0.52;90;20;8;6;Vicarious Visions;E
3866;Way of the Samurai 3;PS3;2008;Action;Gamebridge;0.52;58;18;7.9;22;Acquire;M
3867;The Sims 2: Open for Business;PC;2006;Simulation;Electronic Arts;0.52;78;29;8.6;35;Maxis;T
3868;Rune Factory 2: A Fantasy Harvest Moon;DS;2008;Role-Playing;Rising Star Games;0.52;77;14;7.9;30;Neverland;E
3869;Harry Potter and the Prisoner of Azkaban;GBA;2004;Action;Electronic Arts;0.52;69;11;8.1;12;Griptonite Games;E
3874;SimAnimals;DS;2009;Simulation;Electronic Arts;0.52;70;10;7.5;4;Electronic Arts;E
3875;NBA Live 2002;PS;2001;Sports;Electronic Arts;0.52;81;6;8.8;9;EA Canada;E
3878;Way of the Samurai;PS2;2002;Action;Eidos Interactive;0.51;74;22;8.2;19;Acquire;M
3879;The 3rd Birthday;PSP;2010;Role-Playing;Square Enix;0.51;71;56;6.1;113;HexaDrive;M
3881;Kung Fu Panda;PS3;2008;Action;Activision;0.51;76;23;7.3;18;Luxoflux, Inc.;E10+
3883;Epic Mickey 2: The Power of Two;X360;2012;Action;Disney Interactive Studios;0.51;59;35;5.5;22;Blitz Games Studios;E
3885;Pac-Man Fever;PS2;2001;Misc;Sony Computer Entertainment;0.51;47;14;6.3;7;Mass Media;E
3886;Spectrobes: Beyond the Portals;DS;2008;Role-Playing;Disney Interactive Studios;0.51;70;26;7.7;14;Jupiter Corporation, Jupiter Multimedia;E10+
3888;HSX HyperSonic.Xtreme;PS2;2002;Racing;Midas Interactive Entertainment;0.51;53;17;8.4;8;Blade Interactive;E
3889;Lair;PS3;2007;Action;Sony Computer Entertainment;0.51;53;55;6.4;229;Factor 5, SCE/WWS;T
3890;Madden NFL 2004;GC;2003;Sports;Electronic Arts;0.51;94;19;7.7;17;EA Tiburon;E
3892;Summoner;PS2;2000;Role-Playing;THQ;0.51;74;16;7.8;12;Volition Inc.;T
3893;Soul Sacrifice;PSV;2013;Role-Playing;Sony Computer Entertainment;0.51;77;71;8.2;298;SCE Japan Studio, comcept;M
3895;DC Universe Online;PS3;2011;Role-Playing;Sony Online Entertainment;0.51;67;46;7.4;139;WBIE;T
3897;NBA Live 07;PSP;2006;Sports;Electronic Arts;0.51;64;9;7.5;4;EA Sports;E
3898;IL-2 Sturmovik: Birds of Prey;X360;2009;Simulation;505 Games;0.51;80;43;8.4;18;Gaijin Entertainment;T
3899;100 All-Time Favorites;DS;2009;Puzzle;Ubisoft;0.51;NA;NA;6.2;6;Ubisoft;E
3900;The Walking Dead: Survival Instinct;PS3;2013;Shooter;Activision;0.51;34;14;3.6;196;Terminal Reality;M
3901;Major League Baseball 2K10;X360;2010;Sports;Take-Two Interactive;0.51;76;26;7.6;38;Visual Concepts;E
3902;Alice in Wonderland;Wii;2010;Adventure;Disney Interactive Studios;0.51;69;18;7.4;13;Etranges Libellules;E10+
3903;Ratatouille;PS3;2007;Action;THQ;0.51;55;8;4.8;4;Heavy Iron Studios;E
3908;NBA Live 2004;XB;2003;Sports;Electronic Arts;0.51;85;19;8.2;11;EA Sports;E
3909;Iron Man;DS;2008;Action;Sega;0.51;56;10;7;4;Artificial Mind and Movement;E10+
3910;Alien: Isolation;XOne;2014;Shooter;Sega;0.51;78;24;7.8;314;Creative Assembly;M
3912;Pro Evolution Soccer 2010;Wii;2009;Sports;Konami Digital Entertainment;0.51;82;13;8.4;17;Konami;E
3913;Disney's Kim Possible: Revenge of Monkey Fist;GBA;2002;Platform;THQ;0.51;62;4;8.8;8;Digital Eclipse;E
3914;Naruto Shippuden: Clash of Ninja Revolution 3;Wii;2009;Fighting;Nintendo;0.51;74;23;8.1;21;8ing/Raizing;T
3915;Ace Combat Zero: The Belkan War;PS2;2006;Simulation;Namco Bandai Games;0.51;75;45;8.4;55;Namco;T
3916;Dragon Age: Origins;PC;2009;Role-Playing;Electronic Arts;0.51;91;67;8.6;3542;BioWare;M
3917;Dynasty Warriors;PSP;2004;Action;Tecmo Koei;0.51;62;26;7.3;24;Koei;T
3918;NHL 07;PS2;2006;Sports;Electronic Arts;0.51;76;11;4.6;51;EA Sports;E10+
3919;SoulCalibur: Broken Destiny;PSP;2009;Fighting;Namco Bandai Games;0.51;80;52;6.2;45;Bandai Namco Games;T
3921;Dragon Ball: Raging Blast;X360;2009;Fighting;Namco Bandai Games;0.51;56;29;7.5;33;Spike;T
3922;Naruto Shippuden: Ultimate Ninja Storm 3;X360;2013;Fighting;Namco Bandai Games;0.51;70;16;7.7;67;CyberConnect2;T
3924;World Championship Poker;XB;2004;Misc;Crave Entertainment;0.51;66;7;tbd;NA;Coresoft;E
3925;The BIGS;PS2;2007;Sports;Take-Two Interactive;0.51;71;4;4.8;4;Blue Castle Games;E
3926;WWE 2K16;PS3;2015;Sports;Take-Two Interactive;0.51;NA;NA;6;21;Yuke's;T
3928;Dragon Ball Z: Supersonic Warriors;GBA;2004;Fighting;Atari;0.51;73;26;7;21;Arc System Works;T
3929;NBA Ballers;XB;2004;Sports;Midway Games;0.51;82;35;8.1;8;Midway;E
3930;Silent Hill 4: The Room;PS2;2004;Action;Konami Digital Entertainment;0.51;76;54;7.8;191;KCET;M
3932;Capcom Classics Collection;PS2;2005;Misc;Capcom;0.51;78;30;8.4;5;Digital Eclipse;T
3933;My Word Coach;Wii;2007;Misc;Ubisoft;0.51;68;8;tbd;NA;Ubisoft;E
3935;Tiger Woods PGA Tour 13;X360;2012;Sports;Electronic Arts;0.51;77;47;5.6;39;Electronic Arts;E
3937;The Saboteur;X360;2009;Action;Electronic Arts;0.51;73;69;8.2;141;Pandemic Studios;M
3938;The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies;GBA;2004;Action;THQ;0.5;56;4;tbd;NA;Tantalus Interactive;E
3939;Sonic Riders;PS2;2006;Racing;Sega;0.5;55;41;7.2;25;Sonic Team;E
3940;Looney Tunes: Back in Action;PS2;2003;Platform;Warner Bros. Interactive Entertainment;0.5;51;9;7.5;6;Warthog;E
3941;Monsters vs. Aliens;DS;2009;Action;Activision;0.5;47;8;tbd;NA;Griptonite Games;E
3943;NHL 09;X360;2008;Sports;Electronic Arts;0.5;88;41;8.4;61;EA Canada;E10+
3944;Bully: Scholarship Edition;Wii;2008;Action;Take-Two Interactive;0.5;83;34;8.4;60;Rockstar Toronto;T
3945;WWE SmackDown vs. RAW 2007;X360;2006;Fighting;THQ;0.5;81;50;7.8;46;Yuke's;T
3946;Midnight Club II;XB;2003;Racing;Take-Two Interactive;0.5;86;33;7.6;12;Rockstar San Diego;T
3948;Tiger Woods PGA Tour 07;PS3;2006;Sports;Electronic Arts;0.5;81;30;tbd;NA;EA Redwood Shores;E
3949;Ratatouille;Wii;2007;Action;THQ;0.5;62;16;6.7;12;Asobo Studio;E
3950;Avatar: The Last Airbender;GC;2006;Adventure;THQ;0.5;60;10;6.5;4;AWE Games;E10+
3952;The Mummy Returns;PS2;2001;Action;Universal Interactive;0.5;44;13;7;11;Blitz Games;T
3955;Hitman: Blood Money;PS2;2006;Action;Eidos Interactive;0.5;83;36;8.4;104;Io Interactive;M
3958;Lost: Via Domus;PS3;2008;Action;Ubisoft;0.5;54;30;6.9;28;Ubisoft Montreal;T
3959;Crash: Mind Over Mutant;PS2;2008;Platform;Vivendi Games;0.5;73;7;6.5;36;Radical Entertainment;E10+
3960;Activision Anthology;PS2;2002;Misc;Activision;0.5;75;13;7.7;6;Contraband Entertainment;E
3961;Picross DS;DS;2007;Puzzle;Nintendo;0.5;83;33;8.7;36;Jupiter Corporation;E
3962;Pro Evolution Soccer 2012;X360;2011;Action;Konami Digital Entertainment;0.5;78;36;6.6;55;Konami;E
3963;Final Fantasy II Anniversary Edition;PSP;2007;Role-Playing;Square Enix;0.5;63;31;7.1;24;TOSE;T
3964;Test Drive Unlimited;PSP;2007;Racing;Atari;0.5;80;18;7.3;29;Melbourne House;E10+
3965;Harry Potter and the Half-Blood Prince;PSP;2009;Action;Electronic Arts;0.5;NA;NA;6.6;9;EA Bright Light;E
3966;Unit 13;PSV;2012;Shooter;Sony Computer Entertainment;0.5;71;60;7.5;169;Zipper Interactive;T
3967;R.U.S.E.;PS3;2010;Strategy;Ubisoft;0.5;76;37;7.3;50;Eugen Systems;T
3968;Theatrhythm: Final Fantasy;3DS;2012;Misc;Square Enix;0.5;78;60;7.8;113;Indies Zero;E10+
3970;Goldeneye 007: Reloaded;X360;2011;Shooter;Activision;0.5;72;56;6;96;Eurocom Entertainment Software;T
3973;Star Wars: Jedi Starfighter;PS2;2002;Simulation;Activision;0.5;81;22;8.3;8;LucasArts;T
3974;Tactics Ogre: The Knight of Lodis;GBA;2001;Role-Playing;Nintendo;0.5;88;20;9.1;26;Quest;E
3977;Sega Bass Fishing;Wii;2008;Sports;Sega;0.5;59;29;6.3;9;Cavia Inc.;E
3979;Dead or Alive Ultimate;XB;2004;Fighting;Tecmo Koei;0.5;83;64;8.7;25;Team Ninja;M
3980;RPG Maker;PS;1997;Role-Playing;ASCII Entertainment;0.5;66;11;8.2;9;Kuusou Kagaku;E
3981;Major League Baseball 2K12;X360;2012;Sports;Take-Two Interactive;0.5;68;19;6.4;22;Visual Concepts;E
3982;Rooms: The Main Building;DS;2010;Adventure;Nintendo;0.5;56;23;tbd;NA;HandMade Game;E
3983;Dance Dance Revolution Universe 2;X360;2007;Simulation;Konami Digital Entertainment;0.5;65;10;7.4;5;Konami;E10+
3984;Burnout Revenge;X360;2006;Racing;Electronic Arts;0.5;89;61;8.1;140;Criterion Games;E10+
3986;The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies;PS2;2004;Action;THQ;0.5;65;8;7.3;8;THQ;E
3987;Madden NFL 13;Wii;2012;Sports;Electronic Arts;0.5;NA;NA;7.3;4;EA Tiburon;E
3988;Madden NFL 11;PS2;2010;Sports;Electronic Arts;0.5;NA;NA;7;4;EA Tiburon;E
3989;Monster Hunter;PS2;2004;Role-Playing;Capcom;0.5;68;37;8.9;46;Capcom;T
3990;NBA Street Homecourt;X360;2007;Sports;Electronic Arts;0.5;80;42;8.2;30;EA Canada;E
3991;Tony Hawk's Underground 2;GC;2004;Sports;Activision;0.5;82;30;8.9;17;Neversoft Entertainment;T
3992;SplashDown: Rides Gone Wild;PS2;2003;Racing;THQ;0.5;80;25;8.7;16;Rainbow Studios;E
3994;Shrek SuperSlam;PS2;2005;Action;Activision;0.5;67;21;9;26;Shaba Games;E10+
3995;Rayman Advance;GBA;2001;Platform;Ubisoft;0.5;84;17;8.4;16;Digital Eclipse;E
3998;Wet;X360;2009;Shooter;Bethesda Softworks;0.5;69;79;7.3;86;Artificial Mind and Movement;M
3999;Tomb Raider: Anniversary;PS2;2007;Action;Eidos Interactive;0.5;NA;NA;8.2;29;Crystal Dynamics;T
4000;Fantastic 4;PS2;2005;Action;Activision;0.5;64;42;7.8;19;7 Studios;T
4001;Men in Black II: Alien Escape;PS2;2002;Shooter;Infogrames;0.5;50;19;7.3;6;Melbourne House;T
4006;Alice: Madness Returns;X360;2011;Adventure;Electronic Arts;0.5;70;67;8.1;157;Spicy Horse;M
4007;Madden NFL 07;Wii;2006;Sports;Electronic Arts;0.49;81;35;8;16;EA Canada;E
4008;Spider-Man 2;DS;2004;Action;Activision;0.49;61;46;5;6;Vicarious Visions;E
4009;Ridge Racer 3D;3DS;2011;Racing;Namco Bandai Games;0.49;75;59;7.2;56;Namco Bandai Games;E
4010;Picross 3D;DS;2009;Puzzle;Nintendo;0.49;83;35;8.4;33;HAL Labs;E
4011;Dynasty Warriors: Gundam 2;PS3;2008;Action;Namco Bandai Games;0.49;54;22;7;28;Omega Force;T
4012;Cars Mater-National Championship;Wii;2007;Racing;THQ;0.49;NA;NA;6.7;6;Incinerator Games;E
4013;Tony Hawk's Underground 2;GBA;2004;Sports;Activision;0.49;70;4;tbd;NA;Vicarious Visions;E
4014;Super Monkey Ball 3D;3DS;2011;Action;Sega;0.49;55;57;5.5;31;Sega;E
4015;Euro Truck Simulator;PC;2008;Simulation;Rondomedia;0.49;NA;NA;7.6;35;SCS Software;
4016;SpongeBob SquarePants: Creature from the Krusty Krab;Wii;2006;Platform;THQ;0.49;57;16;5.6;7;Blitz Games;E
4018;F1 2012;X360;2012;Racing;Codemasters;0.49;84;42;6.9;56;Codemasters;E
4021;Tony Hawk's Project 8;X360;2006;Sports;Activision;0.49;81;65;7.6;38;Neversoft Entertainment;T
4023;Bleach: Soul Resurreccion;PS3;2011;Fighting;Nippon Ichi Software;0.49;58;34;7.2;46;Racjin;T
4024;The Matrix: Path of Neo;PS2;2005;Action;Atari;0.49;69;42;7.9;42;Shiny Entertainment;T
4025;Dragon Ball Z: Supersonic Warriors 2;DS;2005;Fighting;Atari;0.49;66;13;7.6;28;Arc System Works;E10+
4026;Sonic Lost World;3DS;2013;Platform;Sega;0.49;59;34;6.5;144;Dimps Corporation;E10+
4027;WWE Wrestlemania X8;GC;2002;Fighting;THQ;0.49;64;25;6.9;20;Yuke's;T
4028;Boogie;Wii;2007;Misc;Electronic Arts;0.49;57;37;5.3;54;EA Montreal;E10+
4030;Power Rangers: Dino Thunder;GBA;2003;Action;THQ;0.49;49;5;;NA;Natsume;E
4031;GoldenEye: Rogue Agent;XB;2004;Shooter;Electronic Arts;0.49;61;55;7.2;20;EA LA;T
4032;Fire Emblem: Radiant Dawn;Wii;2007;Strategy;Nintendo;0.49;78;36;8.7;180;Intelligent Systems;E10+
4033;The Sims;GC;2003;Simulation;Electronic Arts;0.49;85;16;7.7;22;Edge of Reality;T
4034;Plants vs. Zombies: Garden Warfare 2;PS4;2016;Shooter;Electronic Arts;0.49;81;29;7.7;111;PopCap;E10+
4035;Grandia III;PS2;2005;Role-Playing;Square Enix;0.49;77;38;8.3;53;Game Arts;T
4036;Ace Combat: Assault Horizon;X360;2011;Action;Namco Bandai Games;0.49;78;71;6.2;82;Project Aces;T
4039;Scarface: The World is Yours;XB;2006;Action;Vivendi Games;0.49;76;41;8.4;46;Radical Entertainment;M
4040;Resident Evil: The Mercenaries 3D;3DS;2011;Action;Capcom;0.49;65;69;6.4;110;Capcom;M
4043;Star Wars Battlefront: Elite Squadron;DS;2009;Shooter;LucasArts;0.49;61;12;5;8;n-Space;E10+
4047;SpongeBob SquarePants: Creature from the Krusty Krab;DS;2006;Platform;THQ;0.49;56;7;7.3;4;WayForward;E
4048;Backyard Baseball;PS2;2004;Sports;Atari;0.49;NA;NA;7.2;10;Humongous Entertainment;E
4050;Middle-Earth: Shadow of Mordor;X360;2014;Action;Warner Bros. Interactive Entertainment;0.49;NA;NA;4.6;77;Behaviour Interactive;M
4051;Barbie Horse Adventures: Wild Horse Rescue;PS2;2003;Sports;Universal Interactive;0.49;NA;NA;6.6;10;Blitz Games;E
4052;Pokemon Art Academy ;3DS;2014;Misc;Nintendo;0.49;76;22;7.7;19;Headstrong Games;E
4056;Medal of Honor;PC;2010;Shooter;Electronic Arts;0.49;72;26;6.4;516;Dice, Danger Close;M
4057;Asphalt 3D;3DS;2011;Racing;Ubisoft;0.49;43;37;4.4;24;Gameloft;E10+
4059;Crazy Taxi;GC;2001;Racing;Acclaim Entertainment;0.49;69;20;7.5;21;Acclaim;T
4060;Dragon Ball Z: Burst Limit;X360;2008;Fighting;Atari;0.49;72;50;7.6;41;Dimps Corporation, Namco Bandai Games;T
4061;Spy Hunter 2;PS2;2003;Racing;Midway Games;0.49;57;30;6.4;8;Angel Studios;T
4062;Pac-Man World 2;XB;2002;Action;Namco Bandai Games;0.49;66;7;tbd;NA;Namco;E
4065;Sniper: Art of Victory;PC;2008;Shooter;City Interactive;0.49;36;7;3.6;16;City Interactive;M
4066;Tales of Legendia;PS2;2005;Role-Playing;Namco Bandai Games;0.49;72;37;7.7;38;Namco;T
4068;FIFA Soccer 09;DS;2008;Sports;Electronic Arts;0.49;84;5;6.1;31;EA Canada;E
4069;Steel Diver;3DS;2011;Action;Nintendo;0.49;58;55;6.3;29;Nintendo;E10+
4070;Bravely Second: End Layer;3DS;2015;Role-Playing;Nintendo;0.49;81;70;7.4;103;Silicon Studio;T
4071;Alone in the Dark;X360;2008;Adventure;Atari;0.48;58;53;5.7;162;Eden Studios;M
4074;Shrek the Third;PS2;2007;Action;Activision;0.48;56;18;6.1;9;Amaze Entertainment;E10+
4076;Need for Speed: Porsche Unleashed;GBA;2004;Racing;Zoo Digital Publishing;0.48;62;4;7.8;8;Pocketeers;E
4078;Far Cry 2;PC;2008;Action;Ubisoft;0.48;85;34;5.8;1345;Ubisoft Montreal;M
4079;NFL Street 2;XB;2004;Sports;Electronic Arts;0.48;78;44;6.5;11;EA Tiburon;E
4083;Rock Band Unplugged;PSP;2009;Misc;MTV Games;0.48;79;50;8.6;31;Harmonix Music Systems, Backbone Entertainment;T
4087;Skylanders: SuperChargers;WiiU;2015;Action;Activision;0.48;87;13;5.6;65;Vicarious Visions;E10+
4089;You're in the Movies;X360;2008;Misc;Microsoft Game Studios;0.48;55;21;5.5;20;Zoe Mode;E
4091;Scene It? Lights Camera Action;X360;2007;Misc;Microsoft Game Studios;0.48;73;41;8.1;21;Screenlife Games, WXP;T
4092;MotorStorm: Apocalypse;PS3;2011;Racing;Sony Computer Entertainment;0.48;77;74;7.7;155;Evolution Studios;T
4093;Dark Sector;X360;2008;Shooter;D3Publisher;0.48;72;71;7.5;147;Digital Extremes;M
4095;Tiger Woods PGA Tour 07;X360;2006;Sports;Electronic Arts;0.48;80;44;7.9;21;EA Redwood Shores;E
4096;Plants vs. Zombies: Garden Warfare 2;XOne;2016;Shooter;Electronic Arts;0.48;80;64;8.1;79;PopCap;E10+
4097;Mario Golf: World Tour;3DS;2014;Sports;Nintendo;0.48;78;73;8.2;76;Camelot Software Planning;E
4098;Secret Weapons Over Normandy;PS2;2003;Simulation;LucasArts;0.48;81;26;8.2;19;Totally Games;T
4102;Bratz: The Movie;PS2;2007;Simulation;THQ;0.48;NA;NA;5;4;Blitz Games;E
4103;Crash of the Titans;DS;2007;Action;Vivendi Games;0.48;73;8;5.9;10;Amaze Entertainment;E
4104;Dragon Ball: XenoVerse;PS3;2015;Fighting;Namco Bandai Games;0.48;NA;NA;7.1;62;Dimps Corporation;T
4106;Lollipop Chainsaw;X360;2012;Action;Warner Bros. Interactive Entertainment;0.48;70;64;7;260;Grasshopper Manufacture;M
4109;The Saboteur;PS3;2009;Action;Electronic Arts;0.48;72;54;8.1;118;Pandemic Studios;M
4110;Metal Gear Rising: Revengeance;X360;2013;Action;Konami Digital Entertainment;0.48;82;46;7.8;358;PlatinumGames;M
4112;Theme Park Roller Coaster;PS2;2000;Strategy;Electronic Arts;0.48;82;11;7.9;17;Bullfrog Productions;E
4113;Bass Pro Shops: The Strike;Wii;2009;Sports;XS Games;0.48;NA;NA;7.6;5;Piranha Games;E
4118;NHL 16;XOne;2015;Sports;Electronic Arts;0.48;80;18;6;81;EA Sports, EA Canada;E10+
4119;Midnight Club: Street Racing;GBA;2001;Racing;Rebellion;0.48;50;5;5.3;6;Angel Studios;E
4120;Tiger Woods PGA Tour 06;XB;2005;Sports;Electronic Arts;0.48;81;30;5.1;11;EA Sports;E
4121;Fortune Street;Wii;2011;Misc;Nintendo;0.48;68;42;7.5;24;Marvelous AQL;E
4122;FIFA World Cup Germany 2006;X360;2006;Sports;Electronic Arts;0.48;72;49;6.6;33;EA Canada;E
4126;World of Outlaws: Sprint Cars 2002;PS2;2002;Racing;Ignition Entertainment;0.48;80;10;9.1;10;Ratbag;E
4127;Children of Mana;DS;2006;Role-Playing;Nintendo;0.48;65;34;6;21;Nex Entertainment;E10+
4128;Sonic the Hedgehog;PS3;2006;Platform;N/A;0.48;43;17;4.1;176;Sonic Team;E10+
4129;Fantavision;PS2;2000;Puzzle;Sony Computer Entertainment;0.47;72;18;6.3;9;SCEJ;E
4134;X-Men: Next Dimension;PS2;2002;Fighting;Activision;0.47;61;19;8.7;13;Paradox Development;T
4137;Dynasty Warriors Gundam;PS3;2007;Action;Tecmo Koei;0.47;60;29;6.9;16;Koei, Omega Force;T
4138;Doom 3 BFG Edition;X360;2012;Shooter;Bethesda Softworks;0.47;67;30;6.5;132;id Software;M
4139;Alice in Wonderland;DS;2010;Adventure;Disney Interactive Studios;0.47;78;24;tbd;NA;Etranges Libellules;E10+
4140;Spider-Man 3;Wii;2007;Platform;Activision;0.47;53;39;5.3;29;Vicarious Visions;T
4142;Rock Band 4;XOne;2015;Misc;Harmonix Music Systems;0.47;79;27;6.4;54;Harmonix Music Systems;T
4144;James Bond 007: Blood Stone;X360;2010;Shooter;Activision;0.47;62;66;7.1;63;Bizarre Creations;T
