"","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"982","PS2","2003","Racing","Take-Two Interactive",1.78,85,41,"8.5",47,"Rockstar San Diego","T"
"984","PS2","2004","Action","Sony Computer Entertainment",1.78,57,53,"7.6",47,"SCEE London Studio","M"
"985","PS2","2005","Action","Vivendi Games",1.77,47,21,"6.6",129,"Genuine Games","M"
"988","XB","2001","Fighting","Microsoft Game Studios",1.77,87,35,"8.6",44,"Team Ninja","T"
"989","DS","2006","Role-Playing","Square Enix",1.76,75,30,"7.4",27,"TOSE","E10+"
"990","Wii","2011","Action","LucasArts",1.76,76,7,"7.7",10,"Traveller's Tales","E10+"
"994","PS3","2009","Fighting","THQ",1.76,84,58,"8.1",47,"THQ","T"
"995","PS2","2004","Platform","THQ",1.76,75,5,"9",54,"Heavy Iron Studios","E"
"996","GBA","2001","Role-Playing","Nintendo",1.76,91,29,"9.3",198,"Camelot Software Planning","E"
"999","PS2","2004","Fighting","Electronic Arts",1.76,83,46,"8.9",73,"Aki Corp.","M"
"1000","XB","2002","Shooter","Ubisoft",1.76,84,29,"6.1",27,"Red Storm Entertainment","M"
"1001","PS2","2002","Action","Take-Two Interactive",1.76,71,34,"5.7",33,"VIS Entertainment","M"
"1003","PS2","2004","Simulation","Electronic Arts",1.76,70,25,"8.2",24,"Maxis","T"
"1004","PS2","2001","Simulation","Activision",1.76,84,25,"8",21,"LucasArts","T"
"1006","XB","2004","Shooter","Activision",1.75,80,55,"9.1",57,"Pandemic Studios","T"
"1008","PS4","2016","Sports","Electronic Arts",1.75,82,35,"4.9",83,"EA Sports","E"
"1009","PS3","2010","Action","Square Enix",1.75,83,66,"8",291,"Avalanche Studios","M"
"1014","PS3","2007","Sports","Electronic Arts",1.75,81,28,"7.1",47,"EA Canada","E"
"1015","X360","2007","Shooter","Microsoft Game Studios",1.75,83,75,"8",340,"Realtime Worlds","M"
"1016","WiiU","2013","Misc","Nintendo",1.75,65,38,"6.8",135,"Nd Cube","E"
"1017","PS2","2008","Simulation","Konami Digital Entertainment",1.75,55,6,"6.2",6,"Konami","E10+"
"1021","PS2","2002","Role-Playing","Namco Bandai Games",1.74,83,35,"8.7",99,"Monolith Soft","T"
"1022","PS3","2014","Action","Ubisoft",1.74,NA,NA,"5.1",383,"Ubisoft Montreal","M"
"1023","X360","2012","Action","Microsoft Game Studios",1.74,55,61,"3.5",145,"Terminal Reality","T"
"1024","PS3","2012","Role-Playing","Capcom",1.74,78,38,"8.3",444,"Capcom","M"
"1027","PS4","2015","Shooter","Sony Computer Entertainment",1.74,63,94,"6.6",3172,"Ready at Dawn, SCE Santa Monica","M"
"1028","PS2","2001","Sports","Electronic Arts",1.73,92,33,"8.9",71,"EA Canada","E"
"1029","PS4","2013","Platform","Sony Computer Entertainment Europe",1.73,54,83,"6.5",1074,"SCE Japan Studio","E10+"
"1032","DS","2010","Role-Playing","Nintendo",1.73,78,41,"8.1",31,"ArtePiazza","T"
"1033","GBA","2002","Platform","Universal Interactive",1.73,78,18,"7.9",27,"Vicarious Visions","E"
"1034","X360","2012","Action","Square Enix",1.73,79,51,"7.1",453,"Io Interactive","M"
"1036","PS4","2014","Racing","Ubisoft",1.72,61,60,"5.4",575,"Ubisoft Reflections, Ivory Tower","T"
"1038","XOne","2014","Sports","Take-Two Interactive",1.72,82,9,"6.3",101,"Visual Concepts","E"
"1039","XB","2004","Sports","Electronic Arts",1.72,91,39,"7.6",26,"EA Tiburon","E"
"1040","PS2","2003","Role-Playing","Ubisoft",1.72,80,55,"7.7",134,"Tri-Ace","T"
"1041","PC","2011","Shooter","Activision",1.72,78,26,"2.5",5664,"Infinity Ward, Sledgehammer Games","M"
"1042","X360","2012","Action","Bethesda Softworks",1.71,88,56,"7.9",815,"Arkane Studios","M"
"1044","Wii","2009","Misc","MTV Games",1.71,89,25,"8.9",43,"Harmonix Music Systems","T"
"1045","PS2","2004","Simulation","Sony Computer Entertainment Europe",1.71,84,57,"9.1",81,"Namco","T"
"1046","XB","2003","Racing","Electronic Arts",1.71,83,25,"8.7",35,"Electronic Arts","E"
"1048","GBA","2001","Puzzle","THQ",1.71,65,10,"tbd",NA,"3d6 Games","E"
"1051","DS","2007","Misc","Mindscape",1.7,20,13,"1.9",41,"Artefacts Studio","E"
"1052","PS2","2009","Sports","Electronic Arts",1.7,NA,NA,"8.4",9,"EA Sports","E"
"1053","PS3","2011","Shooter","Valve",1.7,95,54,"8.4",937,"Valve Software","E10+"
"1055","PS2","2006","Sports","Electronic Arts",1.7,87,18,"8.6",23,"EA Sports","E"
"1056","PC","2010","Simulation","Electronic Arts",1.7,74,17,"5.3",77,"The Sims Studio","T"
"1057","PS4","2016","Action","Hello Games",1.7,71,94,"4.5",5096,"Hello Games","T"
"1059","Wii","2009","Sports","Activision Value",1.69,NA,NA,"7.8",4,"Activision","T"
"1060","PS2","2005","Shooter","Sony Computer Entertainment",1.69,82,59,"8.8",64,"Zipper Interactive","M"
"1061","PS3","2013","Shooter","Take-Two Interactive",1.69,94,27,"8.5",1863,"Irrational Games","M"
"1066","GBA","2001","Action","Electronic Arts",1.69,64,8,"7.1",7,"Griptonite Games","E"
"1067","GBA","2002","Role-Playing","Infogrames",1.69,53,15,"6.9",28,"Webfoot Technologies","E"
"1069","GC","2005","Action","Capcom",1.69,96,82,"9.4",767,"Capcom","M"
"1070","DS","2007","Puzzle","Nintendo",1.69,63,11,"tbd",NA,"Jupiter Corporation","E"
"1071","Wii","2009","Puzzle","Warner Bros. Interactive Entertainment",1.68,37,4,"tbd",NA,"Farsight Studios","E"
"1072","X360","2008","Racing","Electronic Arts",1.68,64,62,"5.9",104,"EA Vancouver","T"
"1075","Wii","2010","Platform","Sega",1.68,78,58,"8.5",301,"Sonic Team","E"
"1076","PS3","2008","Action","THQ",1.68,82,50,"7.9",135,"Volition Inc.","M"
"1079","PC","2010","Strategy","Take-Two Interactive",1.68,90,70,"7.9",2280,"Firaxis Games","E10+"
"1081","PC","2003","Simulation","Electronic Arts",1.68,79,20,"8.2",25,"Maxis","T"
"1082","GBA","2002","Action","Nintendo",1.68,92,44,"9.1",200,"Nintendo","E"
"1083","Wii","2008","Sports","Namco Bandai Games",1.67,67,32,"8.5",12,"Bandai Namco Games","E"
"1084","PSP","2007","Shooter","LucasArts",1.67,73,35,"7.9",46,"Rebellion","T"
"1085","PS2","2003","Sports","Electronic Arts",1.67,93,41,"9.1",125,"EA Canada","E"
"1086","PS","2000","Sports","Electronic Arts",1.67,90,14,"6.8",4,"EA Sports","E"
"1087","XB","2005","Shooter","Activision",1.67,83,40,"8.9",106,"Pandemic Studios","T"
"1089","PS","2001","Sports","Activision",1.67,87,10,"8.3",36,"Shaba Games","E"
"1092","PS3","2009","Role-Playing","Electronic Arts",1.67,87,41,"7.9",597,"BioWare","M"
"1093","PS2","2001","Racing","Midway Games",1.67,84,28,"7.8",13,"Paradigm Entertainment","T"
"1094","PS2","2003","Sports","Electronic Arts",1.67,94,15,"8.8",81,"EA Sports","E"
"1095","PS3","2006","Fighting","Electronic Arts",1.67,83,37,"7.9",24,"EA Chicago","T"
"1096","PC","2013","Strategy","Activision",1.67,86,68,"7.9",1346,"Blizzard Entertainment","T"
"1097","PS2","2003","Platform","THQ",1.67,71,9,"9",85,"Heavy Iron Studios","E"
"1098","PS4","2015","Adventure","Sony Computer Entertainment Europe",1.66,79,103,"8.2",2161,"SuperMassive Games","M"
"1099","Wii","2008","Sports","THQ",1.66,44,17,"8",41,"HB Studios Multimedia","E"
"1101","PS2","2000","Sports","Electronic Arts",1.66,93,35,"8.3",33,"EA Sports Big","E"
"1102","Wii","2008","Sports","Ubisoft",1.66,78,28,"8.7",22,"Ubisoft","E10+"
"1103","PS2","2004","Sports","Midway Games",1.66,83,44,"9.2",19,"Midway","E"
"1104","X360","2013","Action","Deep Silver",1.66,81,42,"6.5",325,"Volition Inc.","M"
"1105","PS2","2002","Sports","Electronic Arts",1.66,83,22,"8.3",28,"EA Canada","E"
"1106","X360","2012","Action","Warner Bros. Interactive Entertainment",1.66,79,59,"7.2",114,"TT Games","E10+"
"1107","PS2","2005","Fighting","Atari",1.66,72,29,"8.4",71,"Spike","T"
"1108","PS4","2016","Role-Playing","Namco Bandai Games",1.65,89,69,"8.8",1940,"From Software","M"
"1110","Wii","2011","Platform","Nintendo",1.65,77,49,"8.5",156,"HAL Labs","E10+"
"1111","GC","2004","Misc","Nintendo",1.65,71,33,"7.9",51,"Hudson Soft","E"
"1113","Wii","2008","Action","LucasArts",1.65,56,24,"6.7",18,"Krome Studios","T"
"1114","X360","2006","Racing","Electronic Arts",1.65,77,52,"6.3",82,"EA Canada","E10+"
"1115","PS3","2007","Action","Sony Computer Entertainment",1.65,79,64,"8.3",544,"Ninja Theory","T"
"1117","Wii","2007","Simulation","Electronic Arts",1.65,68,38,"7.2",56,"EA Redwood Shores","E"
"1119","X360","2008","Shooter","Electronic Arts",1.64,72,76,"7.6",233,"EA Montreal","M"
"1123","PS2","2002","Sports","Electronic Arts",1.64,88,18,"8.9",18,"EA Sports","E"
"1125","PS2","2004","Action","Ubisoft",1.64,83,51,"8.5",120,"Ubisoft Montreal","M"
"1126","XOne","2014","Shooter","Ubisoft",1.63,82,15,"7.5",383,"Ubisoft Montreal","M"
"1127","XB","2004","Sports","Sega",1.63,92,42,"9.1",93,"Visual Concepts","E"
"1128","PS3","2013","Adventure","Sony Computer Entertainment",1.63,70,98,"8.1",2652,"Quantic Dream","M"
"1129","GC","2001","Strategy","Nintendo",1.63,89,39,"8.7",121,"Nintendo","E"
"1130","PS2","2003","Sports","Electronic Arts",1.63,89,23,"8.8",40,"EA Sports","E"
"1131","X360","2014","Sports","Take-Two Interactive",1.63,NA,NA,"3",40,"Visual Concepts","E"
"1132","PC","N/A","Shooter","Activision",1.63,81,29,"5.2",1651,"Treyarch","M"
"1133","PS","1999","Platform","Sony Computer Entertainment",1.63,90,19,"8.8",53,"SCEI","E"
"1134","PS2","2004","Sports","Electronic Arts",1.62,88,29,"8.8",35,"EA Tiburon","E"
"1135","X360","2012","Shooter","Take-Two Interactive",1.62,86,80,"7.8",869,"Rockstar Studios","M"
"1136","X360","2006","Simulation","Microsoft Game Studios",1.62,84,65,"8",131,"Rare Ltd.","E"
"1138","X360","2010","Simulation","Microsoft Game Studios",1.62,74,50,"3.1",69,"Frontier Developments","E"
"1139","GC","2003","Racing","Nintendo",1.62,61,28,"7.9",69,"HAL Labs","E"
"1140","PS4","2013","Action","Warner Bros. Interactive Entertainment",1.62,83,22,"7.7",262,"TT Games","E10+"
"1142","PS3","2014","Shooter","Activision",1.62,NA,NA,"4.5",445,"Bungie","T"
"1143","PS3","N/A","Misc","Electronic Arts",1.62,92,35,"8.4",107,"Harmonix Music Systems","T"
"1144","DS","2007","Role-Playing","Square Enix",1.62,80,44,"7.9",50,"ArtePiazza","E10+"
"1145","PS2","2004","Sports","Electronic Arts",1.61,77,33,"8.7",20,"EA Tiburon","E"
"1148","GC","2005","Sports","Nintendo",1.61,76,39,"8.7",55,"Next Level Games","E"
"1150","X360","2011","Shooter","Bethesda Softworks",1.6,81,77,"6.7",559,"id Software","M"
"1151","DS","2006","Sports","Nintendo",1.6,69,40,"8",37,"Square Enix","E"
"1152","DS","2007","Action","THQ",1.6,64,5,"tbd",NA,"THQ","E"
"1156","X360","2010","Action","Square Enix",1.6,81,74,"8",267,"Avalanche Studios","M"
"1157","PS","1999","Action","Konami Digital Entertainment",1.6,86,17,"9.2",326,"KCET","M"
"1158","GC","2003","Platform","Sega",1.6,72,49,"7.8",125,"Sonic Team","E"
"1159","Wii","2013","Action","Disney Interactive Studios",1.6,NA,NA,"4.2",24,"Avalanche Software","E10+"
"1160","PS2","2004","Sports","Global Star",1.59,83,24,"7.5",36,"Visual Concepts","E"
"1161","PC","1996","Role-Playing","Activision",1.59,94,12,"8.7",850,"Blizzard Entertainment","M"
"1162","X360","2008","Action","Ubisoft",1.59,85,75,"6.7",288,"Ubisoft Montreal","M"
"1163","GC","2006","Action","Nintendo",1.59,96,16,"9.2",568,"Nintendo","T"
"1166","PS3","2007","Sports","Konami Digital Entertainment",1.59,74,19,"6.1",47,"Konami","E"
"1168","Wii","2006","Role-Playing","Nintendo",1.58,53,34,"6.7",106,"Genius Sonority Inc.","E"
"1169","3DS","2012","Action","Square Enix",1.58,75,54,"8.2",267,"Square Enix","E10+"
"1170","Wii","2008","Simulation","Konami Digital Entertainment",1.58,69,8,"6.8",6,"Konami","E10+"
"1171","X360","2008","Fighting","Ubisoft",1.58,85,62,"7.9",157,"Namco","T"
"1173","PS3","2011","Platform","Sega",1.58,76,38,"8.2",253,"Sega","E"
"1174","GBA","2002","Platform","Vivendi Games",1.58,76,18,"7.6",13,"Digital Eclipse","E"
"1175","WiiU","2015","Misc","Nintendo",1.58,66,66,"6.5",279,"Nintendo, Nd Cube","E"
"1176","PS3","2008","Action","Capcom",1.57,84,63,"8.2",311,"Capcom","M"
"1177","XOne","2013","Action","Microsoft Game Studios",1.57,78,69,"6.8",908,"Capcom Vancouver","M"
"1178","PS2","2009","Sports","Konami Digital Entertainment",1.57,NA,NA,"8.1",15,"Konami","E"
"1179","PS2","2001","Sports","Electronic Arts",1.57,90,18,"8.7",24,"EA Sports","E"
"1180","X360","2013","Shooter","Microsoft Game Studios",1.57,79,81,"5.4",779,"Epic Games","M"
"1181","XOne","2014","Action","Ubisoft",1.57,78,15,"5.8",712,"Ubisoft Montreal","M"
"1182","DS","2008","Misc","Activision",1.57,72,40,"8",5,"Vicarious Visions","E10+"
"1183","X360","2015","Sports","Electronic Arts",1.57,NA,NA,"2.9",45,"EA Sports","E"
"1184","XOne","2014","Sports","Electronic Arts",1.57,80,19,"6.4",138,"EA Sports","E"
"1185","PS2","2002","Shooter","Gotham Games",1.57,55,10,"8.6",45,"Pivotal Games","T"
"1186","GC","2005","Misc","Nintendo",1.57,64,25,"7.9",53,"Hudson","E"
"1187","DS","2008","Role-Playing","Square Enix",1.57,84,46,"8.5",57,"ArtePiazza","E10+"
"1189","PS2","2000","Racing","Take-Two Interactive",1.56,79,21,"6.8",18,"Rockstar San Diego","T"
"1190","PS2","2006","Fighting","Electronic Arts",1.56,84,32,"8.1",41,"EA Chicago","T"
"1191","X360","2012","Racing","Electronic Arts",1.56,83,54,"8.5",134,"EA Canada","T"
"1192","Wii","2008","Sports","Take-Two Interactive",1.56,38,10,"5.7",7,"Cat Daddy Games","E"
"1197","DS","2009","Role-Playing","Nintendo",1.56,54,26,"9",133,"ChunSoft","E"
"1200","DS","2008","Simulation","Electronic Arts",1.55,58,9,"tbd",NA,"TOSE","E"
"1201","Wii","2011","Action","Disney Interactive Studios",1.55,73,14,"7",13,"Traveller's Tales","E10+"
"1202","PS2","2002","Racing","Atari",1.55,71,37,"5.7",36,"Reflections Interactive","T"
"1203","XB","2003","Shooter","Ubisoft",1.55,86,39,"8.5",31,"Ubisoft","M"
"1204","X360","2010","Action","Warner Bros. Interactive Entertainment",1.55,79,58,"8",62,"Traveller's Tales","E10+"
"1206","PS","2001","Action","Activision",1.55,74,15,"8.7",35,"Vicarious Visions","E"
"1207","Wii","2009","Misc","Activision",1.55,89,25,"6.9",49,"Vicarious Visions","T"
"1209","PS4","2014","Shooter","Bethesda Softworks",1.55,79,73,"8.1",1116,"MachineGames","M"
"1210","X360","2010","Action","Take-Two Interactive",1.55,74,79,"7.8",458,"2K Czech","M"
"1212","PS3","2010","Shooter","Take-Two Interactive",1.54,88,62,"8.2",492,"2K Marin","M"
"1213","PS2","2000","Role-Playing","Sony Computer Entertainment",1.54,80,27,"8.2",99,"Level 5","T"
"1214","PC","2003","Strategy","Activision",1.54,88,23,"9",713,"Blizzard Entertainment","T"
"1215","Wii","2008","Sports","Atari",1.54,69,6,"8.1",14,"h.a.n.d. Inc.","E"
"1216","X360","2006","Shooter","Ubisoft",1.54,90,78,"8",215,"Ubisoft Paris","T"
"1218","PS2","2005","Sports","Electronic Arts",1.54,87,25,"8.6",47,"EA Sports","E"
"1220","PSV","2011","Shooter","Sony Computer Entertainment",1.53,80,80,"7.4",770,"Naughty Dog, Sony Bend","T"
"1221","Wii","2011","Misc","Namco Bandai Games",1.53,64,28,"7.8",13,"Namco Bandai Games","E10+"
"1222","PS3","2012","Sports","Konami Digital Entertainment",1.53,82,37,"6.7",146,"Konami","E"
"1225","PS3","2012","Action","Bethesda Softworks",1.53,89,35,"7.9",781,"Arkane Studios","M"
"1226","GC","2003","Sports","Nintendo",1.53,81,49,"8",56,"Camelot Software Planning","E"
"1228","PC","2012","Shooter","Activision",1.53,74,11,"4.2",1635,"Treyarch","M"
"1229","Wii","2007","Action","Capcom",1.52,75,47,"7.6",122,"Cavia Inc.","M"
"1231","PS2","2002","Sports","Electronic Arts",1.52,38,21,"5",26,"The Code Monkeys","T"
"1232","WiiU","2014","Platform","Nintendo",1.52,83,77,"8.9",712,"Retro Studios","E"
"1239","PS3","2009","Fighting","Electronic Arts",1.52,88,46,"7.6",95,"EA Canada","T"
"1240","GC","2002","Puzzle","Atari",1.52,87,34,"8.5",51,"Amusement Vision","E"
"1241","PS2","2002","Action","Namco Bandai Games",1.51,73,19,"7.8",26,"Namco","E"
"1242","DS","2008","Adventure","Disney Interactive Studios",1.51,NA,NA,"7.8",5,"Genius Sonority Inc., Disney Interactive Studios","E"
"1243","Wii","2008","Simulation","Electronic Arts",1.51,76,19,"8.1",24,"EA Redwood Shores","E"
"1244","X360","2011","Shooter","Electronic Arts",1.51,90,83,"8.6",679,"Visceral Games","M"
"1250","PS2","2007","Action","Electronic Arts",1.51,68,10,"8.2",27,"Electronic Arts","T"
"1252","DS","2007","Action","Electronic Arts",1.51,69,17,"7.3",18,"Griptonite Games","T"
"1253","PC","2011","Sports","Sega",1.51,84,45,"8",172,"Sports Interactive","E"
"1254","PS3","2011","Role-Playing","Namco Bandai Games",1.51,85,89,"8.6",984,"Level 5","E10+"
"1255","GC","2003","Fighting","Namco Bandai Games",1.5,93,45,"9.1",135,"Namco","T"
"1256","PS3","2006","Shooter","Activision",1.5,80,43,"6.9",92,"Treyarch","T"
"1257","PS2","2000","Racing","Crave Entertainment",1.5,76,15,"8.9",64,"Genki","E"
"1259","PS2","2002","Shooter","THQ",1.5,84,30,"8.3",35,"Volition Inc.","M"
"1260","PS2","2000","Sports","Electronic Arts",1.5,91,25,"7.7",7,"EA Sports","E"
"1265","PS3","2010","Action","LucasArts",1.5,63,41,"6.8",121,"LucasArts","T"
"1267","PS3","2008","Misc","MTV Games",1.49,91,24,"7.9",88,"Harmonix Music Systems","T"
"1268","GC","2003","Role-Playing","Nintendo",1.49,80,55,"8.1",94,"Square Enix","T"
"1269","XB","2002","Shooter","Electronic Arts",1.49,81,18,"6.9",23,"EA LA","T"
"1270","PS2","2008","Sports","Electronic Arts",1.49,67,4,"7",24,"EA Tiburon","E"
"1271","X360","2010","Action","Capcom",1.49,79,76,"6.9",216,"Blue Castle Games","M"
"1274","PS3","2010","Action","Take-Two Interactive",1.49,75,61,"7.7",297,"2K Czech","M"
"1275","XOne","2015","Action","Warner Bros. Interactive Entertainment",1.49,85,16,"6.6",694,"Rocksteady Studios","M"
"1277","PS2","2006","Shooter","Square Enix",1.48,57,51,"6.9",103,"Square Enix","T"
"1281","PSP","2007","Racing","Sega",1.48,60,24,"7.8",35,"Backbone Entertainment","E"
"1282","DS","2006","Adventure","THQ",1.48,NA,NA,"6.5",4,"Barking Lizards","E"
"1283","PS3","2011","Shooter","Sony Computer Entertainment",1.48,83,91,"7.8",543,"Insomniac Games","M"
"1284","DS","2008","Adventure","THQ",1.48,68,12,"5.5",4,"Altron","E"
"1286","X360","2008","Action","Activision",1.48,65,69,"7.1",71,"Treyarch","T"
"1287","PS2","2005","Sports","Take-Two Interactive",1.48,82,19,"7.4",20,"Kush Games","E"
"1288","PS2","2004","Fighting","Electronic Arts",1.48,85,43,"9",25,"EA Sports","T"
"1289","X360","2011","Action","LucasArts",1.48,75,43,"7.8",42,"Traveller's Tales","E10+"
"1290","XB","2004","Action","Ubisoft",1.48,93,74,"8.6",68,"Ubisoft Shanghai","T"
"1295","PSV","2012","Action","Activision",1.47,33,58,"4.8",479,"Nihilistic","M"
"1296","X360","2012","Shooter","Ubisoft",1.47,79,75,"7.2",334,"Ubisoft Paris","M"
"1297","X360","2006","Fighting","Electronic Arts",1.47,86,67,"8.8",264,"EA Chicago","T"
"1298","PS","1998","Role-Playing","SquareSoft",1.46,84,15,"8.4",204,"SquareSoft","T"
"1300","DS","2010","Puzzle","Warner Bros. Interactive Entertainment",1.46,81,53,"8.2",46,"5TH Cell","E10+"
"1301","PS2","2003","Misc","Midway Games",1.46,76,22,"tbd",NA,"Midway","T"
"1304","GC","2001","Puzzle","Atari",1.46,87,28,"7.9",46,"Amusement Vision","E"
"1305","PS3","2008","Fighting","Ubisoft",1.46,85,65,"7.9",129,"Namco","T"
"1309","GC","2005","Sports","Nintendo",1.46,76,38,"8.6",41,"Namco","E"
"1310","DS","2008","Platform","THQ",1.46,54,15,"tbd",NA,"Helixe","E"
"1312","X360","2008","Shooter","Electronic Arts",1.46,83,70,"7.7",263,"EA DICE","T"
"1313","X360","2011","Shooter","THQ",1.45,70,85,"6",399,"Kaos Studios","M"
"1314","PS2","2004","Action","Capcom",1.45,85,53,"8.6",73,"Capcom","M"
"1315","PS3","2014","Sports","Electronic Arts",1.45,NA,NA,"2.7",13,"EA Sports","E"
"1316","PS2","2004","Shooter","Take-Two Interactive",1.45,73,42,"7.8",70,"Rockstar San Diego","M"
"1317","PS2","2003","Action","Capcom",1.45,71,40,"8.3",94,"Capcom","M"
"1323","PS3","2011","Role-Playing","Electronic Arts",1.45,94,62,"8.5",1081,"BioWare","M"
"1324","DS","2011","Strategy","Warner Bros. Interactive Entertainment",1.45,59,14,"6.9",11,"Hellbent Games","E"
"1326","PS4","2013","Sports","Take-Two Interactive",1.45,85,20,"6.5",368,"Visual Concepts","E"
"1328","PS2","2007","Misc","Sony Computer Entertainment",1.44,73,13,"7.5",8,"SCEE London Studio","E10+"
"1331","X360","2013","Action","Disney Interactive Studios",1.44,74,38,"6.5",79,"Avalanche Software","E10+"
"1332","DS","2007","Misc","Ubisoft",1.44,71,7,"6.8",5,"Ubisoft","E"
"1333","PS2","2004","Sports","Electronic Arts",1.44,88,30,"8.2",20,"EA Sports","E"
"1334","PS2","2002","Sports","Electronic Arts",1.44,91,19,"8.6",27,"EA Sports","E"
"1335","X360","2010","Action","LucasArts",1.43,61,59,"5.7",180,"LucasArts","T"
"1336","PS","1999","Action","Hasbro Interactive",1.43,77,4,"7.9",8,"Blitz Games","E"
"1337","X360","2007","Fighting","THQ",1.43,71,41,"6.8",48,"Yuke's","T"
"1338","X360","2010","Racing","Microsoft Game Studios",1.43,52,46,"5",20,"BigPark","E"
"1339","Wii","2007","Misc","Electronic Arts",1.43,65,26,"7.6",10,"Planet Moon Studios","E"
"1343","GBA","2004","Platform","Nintendo",1.43,84,14,"8.6",44,"Nintendo","E"
"1345","PC","2011","Strategy","Ubisoft",1.43,83,33,"7",493,"Blue Byte, Related Designs","T"
"1346","Wii","2008","Puzzle","Electronic Arts",1.43,63,12,"7.5",11,"EA Bright Light","E"
"1347","PSP","2006","Racing","Sega",1.42,64,25,"7.8",38,"Backbone Entertainment","E"
"1348","PS3","2008","Shooter","Take-Two Interactive",1.42,94,51,"8.7",881,"Digital Extremes, 2K Marin","M"
"1349","PS3","2012","Role-Playing","Electronic Arts",1.42,93,30,"5.5",1849,"BioWare","M"
"1350","PS2","2002","Sports","Activision",1.42,59,7,"7.8",12,"Sand Grain Studios","T"
"1352","PC","2013","Simulation","Electronic Arts",1.42,64,75,"2.2",4572,"Maxis","E10+"
"1353","GBA","2004","Action","Nintendo",1.42,89,56,"9",203,"Flagship","E"
"1354","PS2","2004","Sports","Electronic Arts",1.42,80,36,"8.9",45,"EA Tiburon","E"
"1357","PS3","2011","Shooter","Electronic Arts",1.42,89,78,"8.4",535,"Visceral Games","M"
"1358","Wii","2008","Sports","Electronic Arts",1.42,81,18,"8.7",34,"EA Tiburon","E"
"1359","PS3","2013","Action","Konami Digital Entertainment",1.42,80,61,"7.9",746,"PlatinumGames","M"
"1361","Wii","2006","Misc","Ubisoft",1.42,76,54,"7.9",116,"Ubisoft Montpellier","E"
"1362","DS","2010","Role-Playing","Square Enix",1.41,77,33,"7.3",15,"TOSE","E"
"1363","PS3","2010","Fighting","THQ",1.41,85,54,"7.2",48,"Yuke's","T"
"1365","PS3","2012","Action","Electronic Arts",1.41,55,22,"6",250,"Danger Close","M"
"1367","X360","2009","Misc","Sega",1.41,79,45,"8.5",40,"Backbone Entertainment","E10+"
"1369","Wii","2010","Simulation","Electronic Arts",1.41,NA,NA,"2.5",31,"The Sims Studio","T"
"1372","X360","2013","Role-Playing","Activision",1.41,87,42,"6.6",384,"Blizzard Entertainment","M"
"1373","PS2","2001","Racing","Sony Computer Entertainment",1.41,91,15,"8.4",98,"Incognito Inc.","M"
"1374","PS2","2004","Racing","Electronic Arts",1.41,87,19,"8.4",15,"EA Tiburon","E"
"1375","X360","2009","Fighting","Electronic Arts",1.4,87,76,"8.1",86,"EA Canada","T"
"1376","XB","2002","Action","Activision",1.4,79,29,"7.5",11,"Treyarch","E"
"1377","PSP","2006","Action","LucasArts",1.4,83,11,"8.6",26,"Traveller's Tales","E10+"
"1378","X360","2008","Action","Electronic Arts",1.4,89,79,"8.7",768,"EA Redwood Shores","M"
"1379","PS2","2008","Racing","Electronic Arts",1.4,NA,NA,"6.5",38,"Exient Entertainment","T"
"1381","Wii","2009","Action","Activision",1.4,72,13,"6.1",14,"Traveller's Tales","E10+"
"1382","PSP","2004","Racing","Sony Computer Entertainment",1.4,88,58,"8.2",65,"Namco","E"
"1383","GBA","2004","Platform","THQ",1.4,79,30,"8.4",34,"Dimps Corporation","E"
"1386","PS2","2002","Racing","Codemasters",1.4,86,25,"7.7",24,"Codemasters","E"
"1387","XOne","2014","Racing","Microsoft Game Studios",1.4,86,85,"8.2",977,"Playground Games","E10+"
"1388","PS","2001","Sports","Electronic Arts",1.39,88,9,"8",7,"EA Sports","E"
"1392","PS2","2005","Action","Tecmo Koei",1.39,69,29,"8.8",68,"Omega Force","T"
"1394","X360","2013","Fighting","Warner Bros. Interactive Entertainment",1.38,81,63,"7.9",362,"NetherRealm Studios","T"
"1395","PS3","2008","Action","Ubisoft",1.38,85,49,"6.4",241,"Ubisoft Montreal","M"
"1396","3DS","2014","Platform","Nintendo",1.38,64,71,"6.1",155,"Arzest","E"
"1397","Wii","2012","Action","Warner Bros. Interactive Entertainment",1.38,NA,NA,"7.1",12,"TT Games","E10+"
"1398","XB","2003","Action","Activision",1.38,77,39,"7.8",28,"Luxoflux, Inc.","M"
"1401","XOne","2013","Action","Microsoft Game Studios",1.38,60,77,"6.1",1409,"Crytek","M"
"1402","XOne","2015","Fighting","Warner Bros. Interactive Entertainment",1.38,86,21,"7.3",279,"Warner Bros. Interactive Entertainment, NetherRealm Studios","M"
"1404","XOne","2015","Adventure","Square Enix",1.38,86,102,"8",1288,"Crystal Dynamics","M"
"1406","X360","2011","Platform","Sega",1.38,77,49,"8.3",340,"Sega, Sonic Team","E"
"1407","PS2","2001","Sports","Acclaim Entertainment",1.38,81,21,"8.1",18,"Z-Axis, Ltd.","T"
"1408","DS","2009","Action","Activision",1.38,60,6,"6.7",7,"Now Production","E"
"1409","PS2","2008","Action","LucasArts",1.37,77,12,"8.4",16,"Traveller's Tales","E10+"
"1410","X360","2011","Shooter","Square Enix",1.37,89,70,"8.3",684,"Eidos Montreal","M"
